S.NO,ZONE ,DISTRICT,CLUSTER,SCHOOL NAME ,BOARD,STUDENT STRENGTH,PRIORITY,CORRESPONDENT/ PRINCIPAL,MOBILE NUMBERS,AREA,Procurement Month ,Lead Status,Last Visit,Next Follow-Up,Assigned Canvasser,Expected Order Value,Remarks
,,,,The Hindu Senior Secondary School,CBSE,,,,,"Big Street, Triplicane (Near Anna Salai)",,,,,,,
,,,,Asan Memorial Matriculation Higher Sec. School,Matriculation (State Board),,,,,Thousand Lights West (Off Anna Salai),,,,,,,
,,,,Eve Matriculation Higher Secondary School,Matriculation (State Board),,,,,"Pycrofts Road, Triplicane (Anna Salai Border)",,,,,,,
,,,,Sri Durga Matriculation School,Matriculation (State Board),,,,,"Unnis Ali Sahib Street, Anna Salai",,,,,,,
,,,,Emma Foulger Matriculation School,Matriculation (State Board),,,,,"Indira Garden, Royapettah (Anna Salai Link)",,,,,,,
,,,,C.S.I. Monahan Matriculation School,Matriculation (State Board),,,,,Royapettah (Anna Salai Link),,,,,,,
,,,,Moses Nursery and Primary School,Matriculation (State Board),,,,,"Ellis Road, Mount Road, Anna Salai",,,,,,,
,,,,Christ Church Anglo-Indian Higher Sec. School,State Board (Anglo-Indian),,,,,"#56 Anna Salai, Mount Road",,,,,,,
,,,,St. Ursula's Anglo-Indian Higher Sec. School,State Board (Anglo-Indian),,,,,"#213 Anna Salai, Church Park",,,,,,,
,,,Triplicane,The Hindu Senior Secondary School,CBSE,,,,,"Big Street, Triplicane",,,,,,,
,,,,Eve Matriculation Higher Secondary School,Matriculation (State Board),,,,,"Pycrofts Road, Triplicane",,,,,,,
,,,,N.K.T. National Matriculation Higher Sec. School,Matriculation (State Board),,,,,"Dr. Besant Road, Triplicane",,,,,,,
,,,,Kellett Higher Secondary School (Private Wing),Matriculation (State Board),,,,,Triplicane High Road,,,,,,,
,,,,Anjuman Nursery and Primary School,Matriculation (State Board),,,,,"Mosque Street, Triplicane",,,,,,,
,,,,M.K.M. Matriculation Higher Secondary School,Matriculation (State Board),,,,,Peters Road Layout (Triplicane-Royapettah Border),,,,,,,
,,,,St. Paul's Matriculation School,Matriculation (State Board),,,,,Triplicane,,,,,,,
,,,Tondiarpet & Tiruvottiyur,Sri Ram Dayal Khemka Vivekananda Vidyalaya,CBSE,,,,,"Sathiyamoorthy Nagar, Tondiarpet",,,,,,,
,,,,Shri Sushwani Matha Jain Vidyalaya School,CBSE,,,,,Tondiarpet,,,,,,,
,,,,Kavi Bharathi Vidyalaya,CBSE,,,,,Tiruvottiyur,,,,,,,
,,,,Smt. Mohini Saraogi Vivekananda Vidyalaya,CBSE,,,,,"Jothi Nagar, Tiruvottiyur",,,,,,,
,,,,Velammal New Gen School,CBSE,,,,,Tondiarpet / Tiruvottiyur Stretches,,,,,,,
,,,,TST Rajah Girls' Matriculation Higher Sec. School,Matriculation (State Board),,,,,Tondiarpet,,,,,,,
,,,,Maria Matriculation Higher Secondary School,Matriculation (State Board),,,,,Tondiarpet,,,,,,,
,,,,Revoor Padmanabha Chetty Matriculation Hr. Sec. School,Matriculation (State Board),,,,,Tiruvottiyur,,,,,,,
,,,,Victory Matriculation Higher Secondary School,Matriculation (State Board),,,,,Tiruvottiyur,,,,,,,
,,,,Holy Cross Matriculation School,Matriculation (State Board),,,,,Tiruvottiyur,,,,,,,
,,,,Raghupathy Raja Vidyalaya Matriculation School,Matriculation (State Board),,,,,Tiruvottiyur,,,,,,,
,,,,Angel Babyland Matriculation Higher Secondary School,Matriculation (State Board),,,,,Tondiarpet,,,,,,,
,,,,Daniel Matriculation Higher Secondary School,Matriculation (State Board),,,,,korukkupet,,,,,,,
,,,,Our Lady's Higher Secondary School (Private Wing),Matriculation (State Board),,,,,Tiruvottiyur,,,,,,,
,,,,Orchids The International School,CBSE / International Wing,,,,,tondiarpet,,,,,,,
,,,Ennore & Vyasarpadi,Smt. Narbada Devi J Agarwal Vivekananda Vidyalaya Sr Sec School,CBSE,,,,,vysarpadi,,,,,,,
,,,,Olive Tree International School,CBSE (Proposed),,,,,kondungaiyur,,,,,,,
,,,,Don Bosco Matriculation Higher Secondary School,State Board (Matric),,,,,erukkancheri,,,,,,,
,,,,St. Paul’s Matriculation Higher Secondary School,State Board (Matric),,,,,vysarpadi,,,,,,,
,,,,Veera Savakar Nethaji Matric Hr Sec School,State Board (Matric),,,,,aa road,,,,,,,
,,,,VOC Vidyalaya Matriculation Higher Secondary School,State Board (Matric),,,,,vysarpadi,,,,,,,
,,,,M.P. Devadas High School,State Board,,,,,vysarpadi,,,,,,,
,,,,Don Bosco Beatitudes Residential School,State Board,,,,,sundaram street,,,,,,,
,,,,Gnanodhya Girls High School,State Board,,,,,melpatti ponnappan street,,,,,,,
,,,,Jega Jothi Vidyalaya Nursery & Primary School,State Board,,,,,b v colony,,,,,,,
,,,,Jega Jothi Vidyalaya (Branch),State Board,,,,,kakanji nagar,,,,,,,
,,,,Annai Velankanni Matric School,State Board (Matric),,,,,vysarpadi,,,,,,,
,,,,Geetha Matric Higher Secondary School,State Board (Matric),,,,,vysarpadi,,,,,,,
,,,,Athima Matric Higher Secondary School,State Board (Matric),,,,,vysarpadi,,,,,,,
,,,,Sri Ram Dayal Khemka Vivekananda Vidyalaya Jr College,CBSE,,,,,Thiruvottiyur,,,,,,,
,,,"Washermanpet, royapuram & madhavaram",A.A. Public School,CBSE,,,,,Royapuram,,,,,,,
,,,,ORCHIDS The International School,CBSE,,,,,Near Washermanpet (Pulianthope),,,,,,,
,,,,St. Mary's Matric Hr Sec School,Matric (State Board),,,,,Washermanpet,,,,,,,
,,,,St. Anne's Girls Higher Secondary School,Matric (State Board),,,,,Royapuram,,,,,,,
,,,,Olive Tree International School,CBSE,,,,,Kodungaiyur (near Royapuram),,,,,,,
,,,,Velammal New Gen School Madhavaram,CBSE,,,,,Madhavaram,,,,,,,
,,,,Sri Chaitanya School,CBSE,,,,,Madhavaram,,,,,,,
,,,,Acharya Mahashraman Terapanth Jain Public School,CBSE,,,,,Madhavaram,,,,,,,
,,,,St. Joseph's Academy Matric Hr Sec School,Matric (State Board),,,,,Madhavaram,,,,,,,
,,,,Sri Sakthi Matriculation Hr Sec School,Matric (State Board),,,,,Madhavaram,,,,,,,
,,,,Greenfield Chennai International School,International (IGCSE/IB-type curriculum),,,,,Madhavaram,,,,,,,
,,,,Padma Prakash Matric Hr Sec School,Matric (State Board),,,,,Kodungaiyur (near Washermanpet),,,,,,,
,,,,TAAC CBSE School,CBSE,,,,,Madhavaram,,,,,,,
,,,,Godson Public School,CBSE / Matric,,,,,Nearby (Vinayakapuram),,,,,,,
,,,Nungambakkam & kilpauk,Chinmaya Vidyalaya,CBSE,,,,,Kilpauk,,,,,,,
,,,,Padma Seshadri,CBSE,,,,,Nungambakkam,,,,,,,
,,,,Good Shepherd Mat. Hr. Sec. School,Matric,,,,,Nungambakkam,,,,,,,
,,,,Crescent Matriculation Higher Secondary School,Matric,,,,,Nungambakkam,,,,,,,
,,,,Sherwood Hall Senior Secondary School,CBSE,,,,,Chetpet (near Kilpauk),,,,,,,
,,,,Maharishi Vidya Mandir Senior Secondary School,CBSE,,,,,Chetpet/Kilpauk,,,,,,,
,,,,CSI Bain School,ICSE,,,,,Kilpauk,,,,,,,
,,,,CSI Brain School,ICSE,,,,,Kilpauk,,,,,,,
,,,,Kenrich International School,IGCSE / International,,,,,Nungambakkam,,,,,,,
,,Tiruvallur,Ambattur,Annai Violet International School,CBSE,,,,,Ambattur (Pudur / Banu Nagar),,,,,,,
,,,,Ebenezer Marcus International School & Jr College,CBSE,,,,,Ambattur (Banu Nagar),,,,,,,
,,,,Rudrappasamy School,CBSE,,,,,Ambattur (Pattaravakkam),,,,,,,
,,,,PGS CBSE School (PNET Global),CBSE,,,,,Ambattur (Vijayalakshmi Puram),,,,,,,
,,,,Narayana e-Techno School,CBSE,,,,,Ambattur,,,,,,,
,,,,Nathella Vidhyodaya Senior Secondary School,CBSE,,,,,Ambattur (Venkatapuram),,,,,,,
,,,,Aacini Matric Hr Sec School,Matric,,,,,Ambattur (Vijayalakshmi Puram),,,,,,,
,,,,The Indian Public School (TIPS) Chennai North Campus,IGCSE / IB,,,,,Ambattur (SIDCO Nagar),,,,,,,
,,,Gummidipoondi,RMK Patashaala (RMK Residential School),CBSE,,,,,"Kavaraipettai, Gummidipoondi",,,,,,,
,,,,Sri Sathya Sai Vidya Vihar,CBSE,,,,,Gummidipoondi,,,,,,,
,,,,Aachi Global International School,CBSE / IGCSE,,,,,Near Gummidipoondi,,,,,,,
,,,,Adithya International Public School,CBSE,,,,,Gummidipoondi region,,,,,,,
,,,,Sri Sai Vidya Vihar,CBSE,,,,,Gummidipoondi,,,,,,,
,,,,Aruljothi Nursery & Primary School,Matric,,,,,Gummidipoondi,,,,,,,
,,,,Adarsh Vidyalaya Nursery & Primary School,Matric,,,,,Gummidipoondi,,,,,,,
,,,Kakkalur,Sri R.M. Jain Vidhyashram,CBSE,,,,,Kakkalur,,,,,,,
,,,,Shree Niketan Matriculation Higher Secondary School,Matric,,,,,Kakkalur,,,,,,,
,,,,Bharathi Matriculation School,Matric,,,,,Kakkalur,,,,,,,
,,,,St. Anne's Matriculation Hr. School,Matric,,,,,Kakkalur,,,,,,,
,,,,ABS Vidhya Mandhir,CBSE,,,,,Kakkalur / Ikkadu,,,,,,,
,,,,Velammal Vidhyashram Sevvapet,CBSE,,,,,Near Kakkalur (Sevvapet),,,,,,,
,,,,Loyola International Residential School,IB / International,,,,,Near Kakkalur (Nazarethpet),,,,,,,
,,,Thirumullaivoyal,"Bethel Global School, Thirumullaivoyal,Chennai",CBSE,,,,,Thirumullaivoyal,,,,,,,
,,,,C. S. Central Matric. Hr. Sec. School,Matric,,,,,Thirumullaivoyal,,,,,,,
,,,,Mangalam Vidhyashram CBSE School,CBSE,,,,,Thirumullaivoyal,,,,,,,
,,,,St. John's Elite Matric Higher Secondary School,Matric,,,,,Thirumullaivoyal,,,,,,,
,,,,Sri Venkateswara Matriculation Higher Secondary School,Matric,,,,,Thirumullaivoyal,,,,,,,
,,,,Kalaimagal Matriculation Higher Secondary School,Matric,,,,,Thirumullaivoyal,,,,,,,
,,,,Excel Matric Higher Secondary School,Matric,,,,,Thirumullaivoyal,,,,,,,
,,,,ORCHID HIGH Venkateshwaraa Matriculation School [JVMS],Matric,,,,,Thirumullaivoyal,,,,,,,
,,,Thirumazhisai,Chennai Public School,CBSE,,,,,Thirumazhisai,,,,,,,
,,,,CPS Global School,IB / IGCSE / ICSE,,,,,Thirumazhisai,,,,,,,
,,,,Spartan International School,CBSE,,,,,Near Thirumazhisai (Chembarambakkam),,,,,,,
,,,,Sri Buddha Vidya Mandir Matric Hr Sec School,Matric (State Board),,,,,Thirumazhisai,,,,,,,
,,,,Jai Hind Matriculation School,Matric,,,,,Thirumazhisai,,,,,,,
,,,,Velammal Bodhi Matric School,Matric / CBSE-oriented,,,,,Thirumazhisai,,,,,,,
,,,Vichoor,Arul Jothy Public School,CBSE,,,,,Vichoor,,,,,,,
,,,,Padmashree School,CBSE,,,,,Vichoor,,,,,,,
,,,,Anjo Viddyalaya CBSE School,CBSE,,,,,Vichoor,,,,,,,
,,,,Matrusri English Medium School,Matric / CBSE,,,,,Vichoor,,,,,,,
,,,,Blessings Residential Higher Secondary School,Matric / CBSE,,,,,Vichoor,,,,,,,
,,,,Maharishi International Residential School,CBSE / International,,,,,Near Vichoor,,,,,,,
,,,,ORCHIDS The International School - Pulianthope,CBSE / International,,,,,Chennai (nearest ICSE/Intl option),,,,,,,
,,,,Casagrand International School,IGCSE / International,,,,,Near Vichoor,,,,,,,
,,,,Orchids The International School,CBSE / ICSE,,,,,Chennai (accessible),,,,,,,
,,Kanchipuram,Acharapakkam,St Josephs Mat Hr Sec School,Matriculation,,,,,Acharapakkam,,,,,,,
,,,,Adhiparasakthi Matriculation Higher Secondary School,Matriculation,,,,,Acharapakkam,,,,,,,
,,,,Dr.Jacob's Hi-tech School,Matriculation / State Board,,,,,Acharapakkam,,,,,,,
,,,,GB Public School - CBSE,CBSE,,,,,Near Acharapakkam (Melmaruvathur),,,,,,,
,,,Chithamur,"KVS Matric School, Kadapakkam",Matric (State Board),,,,,"Kadapakkam, Chithamur",,,,,,,
,,,,"GVR Matric Hr Sec School, Kadapakkam",Matric (State Board),,,,,"Kadapakkam, Chithamur",,,,,,,
,,,,"St. Mary’s Matric Higher Secondary School, Kadapakkam",Matric (State Board),,,,,"Kadapakkam, Chithamur",,,,,,,
,,,,Bharathi Matric Higher Secondary School,Matric (State Board),,,,,Chithamur,,,,,,,
,,,,Jai Maruthi Nursery & Primary School,State Board,,,,,"Chunambedu, Chithamur",,,,,,,
,,,,"Prince Nursery & Primary School, Saravambakkam",State Board,,,,,"Saravambakkam, Chithamur",,,,,,,
,,,,"Wisdom Nursery & Primary School, Esur",State Board,,,,,"Esur, Chithamur",,,,,,,
,,, Kunnattur & Kattankolathur,JRK Global School,CBSE,,,,,Kattankulathur,,,,,,,
,,,,Annai Veilankanni's Public School,CBSE,,,,,"Potheri, Kattankulathur",,,,,,,
,,,,Vidya Mandir Estancia,CBSE (Private),,,,,"Estancia, Potheri",,,,,,,
,,,,TMS Vidhyalaya Matriculation,Matric,,,,,"Rail Nagar, Kattankulathur",,,,,,,
,,,,Sivananda Saraswathi Matric Hr Sec School,Matric,,,,,"GST Road, Kattankulathur",,,,,,,
,,,,St. Joseph’s Matric Hr Sec School,Matric,,,,,Maraimalai Nagar,,,,,,,
,,,,Sancta Maria School,Private (CBSE/Matric*),,,,,Potheri,,,,,,,
,,,,Dr. Mangalam High School,State Board,,,,,GST Road,,,,,,,
,,,,Sathy Nursery and Primary School,Primary / State,,,,,Maraimalai Nagar,,,,,,,
,,,,SMN Park School,Pre / Primary,,,,,Guduvancheri (near Kattankulathur),,,,,,,
,,,Lathur & Madurantakam,Saint Exupery Matriculation School,Matric / State Board,,,,,"Cheyyur, Lathur",,,,,,,
,,,,St. Mary Matric Hr Sec School,Matric / State Board,,,,,"Cheyyur, Lathur",,,,,,,
,,,,Blessings Residential Hr Sec School,Matric + CBSE,,,,,Madurantakam,,,,,,,
,,,,Ela Green School,CBSE / Intl,,,,,Near Madurantakam,,,,,,,
,,,,Orchids The International School,CBSE / ICSE (chain),,,,,Nearby region,,,,,,,
,,,,Amethyst International School,IGCSE / IB,,,,,Near Chennai (serves Kanchi belt),,,,,,,
,,,,Brindavan Public School,ICSE,,,,,Chengalpattu (near Madurantakam),,,,,,,
,,,,Good Earth School,ICSE,,,,,Sriperumbudur region,,,,,,,
,,,,Christwood School,ICSE,,,,,Vengadamangalam,,,,,,,
,,,,Prashanti Gurukulam,CBSE,,,,,"Asoor, Kanchipuram",,,,,,,
,,,"Sriperumbudur, St. Thomas Mount & Thiruporur",Ryan International School,CBSE,,,,,Sriperumbudur (Mambakkam Village),,,,,,,
,,,,Good Earth School,ICSE,,,,,Sriperumbudur (Naduveerapattu),,,,,,,
,,,,The Schram Academy,CBSE,,,,,Sriperumbudur (Sivanthangal),,,,,,,
,,,,St. Joseph’s Residential School,CBSE,,,,,Near Sriperumbudur,,,,,,,
,,,,Ela Green School,ICSE / IGCSE,,,,,Near Sriperumbudur,,,,,,,
,,,,Sri Krish Cambridge International School,IGCSE,,,,,Kovur (near STM),,,,,,,
,,,,Orchids The International School,CBSE / ICSE,,,,,Chennai outskirts,,,,,,,
,,,,Sudharssanam Paatashala International School,ICSE,,,,,Chennai outskirts,,,,,,,
,,,,Aadhithya International Public School,CBSE,,,,,Near Sriperumbudur,,,,,,,
,,,,Dwarakesh Vidhyashram CBSE International School,CBSE,,,,,Kanchipuram,,,,,,,
,,,,Sunshine Chennai Senior Secondary School,CBSE,,,,,Chennai (near STM),,,,,,,
,,,,St. Britto’s Academy,CBSE,,,,,Chennai (STM region),,,,,,,
,,,,Amethyst International School,IB / IGCSE,,,,,Thalambur (near Thiruporur),,,,,,,
,,,,Mount Litera Zee School,CBSE,,,,,Chengalpattu / STM,,,,,,,
,,,,Sri Sathya Sai Institute of Educare,CBSE,,,,,Kanchipuram,,,,,,,
,,,,Aachi Global International School,CBSE / Cambridge,,,,,Chennai outskirts,,,,,,,
,,,"Tirukkalukundram, Uthiramerur & Walajabad",Prashanthi Gurukulam CBSE School,CBSE,,,,,Govindavadi (Near Walajabad),,,,,,,
,,,,"Devi Matric Hr Sec School, Venkudi",Matric,,,,,Walajabad,,,,,,,
,,,,Jeeva Gnanodaya Nursery & Primary School,State Board,,,,,"Vallipuram, Tirukkalukundram",,,,,,,
,,,,Prashanthi Gurukulam (Senior Secondary),CBSE,,,,,Walajabad Taluk,,,,,,,
,,,,Sri Babuji Niketan School,Matric,,,,,Walajabad,,,,,,,
,,,,Agathiya Matric School,Matric,,,,,Walajabad,,,,,,,
,,,,Little Flower Matric School,Matric,,,,,Uthiramerur,,,,,,,
,,,,St. Mary’s Matric School,Matric,,,,,Uthiramerur,,,,,,,
,,,,Oxford Matric School,Matric,,,,,Tirukkalukundram,,,,,,,
,,,,Bharathi Matric Hr Sec School,Matric,,,,,Tirukkalukundram,,,,,,,
,,,,Green Valley Matric School,Matric,,,,,Uthiramerur,,,,,,,
,,,,Vivekananda Matric School,Matric,,,,,Walajabad,,,,,,,
,,Chengalpattu,Tambaram,Vels Vidyashram,CBSE,,,,,Pallavaram,,,,,,,
,,,,SAN Academy,CBSE,,,,,Tambaram West,,,,,,,
,,,,Alpha International School,CBSE,,,,,Sembakkam,,,,,,,
,,,,Narayana e-Techno School,CBSE,,,,,Medavakkam,,,,,,,
,,,Chengalpattu,Mahindra World School,CBSE,,,,,Mahindra World City,,,,,,,
,,,,Vidhya Sagar Global School,CBSE,,,,,GST Road,,,,,,,
,,,,St. Paul’s Academy,CBSE,,,,,Chengalpattu,,,,,,,
,,,,CSI St. Hilda’s & St. Hugh’s Matric Hr Sec School,Matric,,,,,Chengalpattu,,,,,,,
,,,,Little Jacky Matric Hr Sec School,Matric,,,,,Chengalpattu,,,,,,,
,,,OMR / Kelambakkam,Chettinad Sarvalokaa Education,IB / IGCSE,,,,,Kelambakkam,,,,,,,
,,,,Gateway International School,IB / IGCSE,,,,,Padur,,,,,,,
,,,,Hiranandani Upscale School,CBSE,,,,,Egattur,,,,,,,
,,,,Sri Chaitanya Techno School,CBSE,,,,,Padur,,,,,,,
,,,Industrial (Maraimalai Nagar),SRM Public School,CBSE,,,,,Potheri,,,,,,,
,,,,SRM International School,IB / IGCSE,,,,,Kattankulathur,,,,,,,
,,,,Velammal New Gen School,CBSE,,,,,Guduvanchery,,,,,,,
,,,Madurantakam,Vivekananda Vidyalaya,CBSE,,,,,Madurantakam,,,,,,,
,,,,Aalam International School,CBSE,,,,,Thozhupedu,,,,,,,
,,,Thiruporur,JS Global School,CBSE,,,,,Thiruporur,,,,,,,
,,,,CeeDeeYes Public School,CBSE,,,,,ECR / Chennai Pattinam,,,,,,,
,,Vellore,Katpadi,Sunbeam CBSE School,CBSE,,,,,Katpadi,,,,,,,
,,,,Sunbeam International School,ICSE,,,,,Gandhi Nagar,,,,,,,
,,,,Sunbeam Matric Hr Sec School,Matric,,,,,Katpadi,,,,,,,
,,,Kalinjur,Ida Scudder School,ICSE,,,,,Kalinjur,,,,,,,
,,,Katpadi,Shrishti Vidyashram Sr Sec School,CBSE,,,,,Brahmapuram,,,,,,,
,,,Katpadi,Shrishti Matric School,Matric,,,,,Katpadi,,,,,,,
,,,Vellore,The Takshilah Global School,CBSE,,,,,Bypass,,,,,,,
,,,Ambur Road,Springdays School,CBSE,,,,,Eraivankadu,,,,,,,
,,,Vellore,Narayana e-Techno School,CBSE,,,,,Vellore,,,,,,,
,,,Gudiyatham,Sunbeam Legacy School,CBSE,,,,,Gudiyatham,,,,,,,
,,,Katpadi,V V N K M School,CBSE,,,,,Katpadi,,,,,,,
,,,Katpadi,Siddhartha Sr Sec School,CBSE,,,,,Katpadi,,,,,,,
,,,Arcot,Vedavalli Vidyalaya,CBSE,,,,,Arcot,,,,,,,
,,,Arcot,Kings & Queens School,CBSE,,,,,Arcot,,,,,,,
,,,Vellore,NAG Vidyashram School,CBSE,,,,,Vellore,,,,,,,
,,,Katpadi,Balsam Academy,CBSE,,,,,Katpadi,,,,,,,
,,,Vellore,Bright Minds Vidyodaya,CBSE,,,,,Vellore,,,,,,,
,,,Vellore,Geekay World School,CBSE,,,,,Vellore,,,,,,,
,,,Arcot,Anuvrat Vidyalaya,CBSE,,,,,Arcot,,,,,,,
,,,Katpadi,Sri Sai Vidyashram,CBSE,,,,,Katpadi,,,,,,,
,,,Vellore,Vidhyalakshmi School,CBSE,,,,,Vellore,,,,,,,
,,,Vellore,Future School,CBSE,,,,,Vellore,,,,,,,
,,,Gudiyatham,Thangamma Intl School,CBSE,,,,,Gudiyatham,,,,,,,
,,,Katpadi,Shemford Futuristic School,CBSE,,,,,Katpadi,,,,,,,
,,,Vellore,Sri Narayani Vidyashram,CBSE,,,,,Vellore,,,,,,,
,,,Katpadi,Parampra Academy,CBSE,,,,,Katpadi,,,,,,,
,,,Vellore,Brammaas Vidyalaya,CBSE,,,,,Vellore,,,,,,,
,,,Vellore,Wisdom Park International School,CBSE,,,,,Vellore,,,,,,,
,,,Arcot,Mount Litera Zee School,CBSE,,,,,Arcot,,,,,,,
,,,Vellore,Global Public School,CBSE,,,,,Vellore,,,,,,,
,,,Katpadi,Hindu Vidyalaya,CBSE,,,,,Katpadi,,,,,,,
,,,Arcot,Arya Vidhyashram School,CBSE,,,,,Arcot,,,,,,,
,,,Gudiyatham,Green Valley Public School,CBSE,,,,,Gudiyatham,,,,,,,
,,,Vellore,Spark School,CBSE,,,,,Vellore,,,,,,,
,,,Katpadi,Kingston International Academy,CBSE,,,,,Katpadi,,,,,,,
,,,Arcot,TRS Global Public School,CBSE,,,,,Arcot,,,,,,,
,,,Katpadi,Indo Australian Academy,CBSE,,,,,Katpadi,,,,,,,
,,,Vellore,Vedha Vidhya Public School,CBSE,,,,,Vellore,,,,,,,
,,,Katpadi,Krisar Academy,CBSE,,,,,Katpadi,,,,,,,
,,,Arcot,Ambari Vidya Mandir,CBSE,,,,,Arcot,,,,,,,
,,,Vellore,Don Bosco Matric School,Matric,,,,,Vellore,,,,,,,
,,,Katpadi,St Johns Matric School,Matric,,,,,Katpadi,,,,,,,
,,,Arcot,Oxford Matric School,Matric,,,,,Arcot,,,,,,,
,,,Gudiyatham,Little Flower School,Matric,,,,,Gudiyatham,,,,,,,
,,,Katpadi,Holy Cross School,Matric,,,,,Katpadi,,,,,,,
,,,Vellore,St Marys School,Matric,,,,,Vellore,,,,,,,
,,,Arcot,Modern Matric School,Matric,,,,,Arcot,,,,,,,
,,,Katpadi,Lakshmi Garden School,Matric,,,,,Katpadi,,,,,,,
,,,Gudiyatham,Vivekananda School,Matric,,,,,Gudiyatham,,,,,,,
,,,Vellore,Sri Ramakrishna School,Matric,,,,,Vellore,,,,,,,
,,Tirupathur,Tirupattur,Sri Vijay Shanthi Jain School,CBSE,,,,,Aathiyur,,,,,,,
,,,,CSI Girls Matric HSS,Matric,,,,,Town,,,,,,,
,,,,Dominic Savio HSS,Matric,,,,,Town,,,,,,,
,,,,Goodwill Matric School,Matric,,,,,Town,,,,,,,
,,,,YMCA Brown School,Matric,,,,,Town,,,,,,,
,,,,Ramakrishna Matric School,Matric,,,,,Town,,,,,,,
,,,,Al Ameen Matric HSS,Matric,,,,,Town,,,,,,,
,,,,Bharathi Matric School,Matric,,,,,Town,,,,,,,
,,,,Little Flower Matric School,Matric,,,,,Town,,,,,,,
,,,,Oxford Kids School,Matric,,,,,Town,,,,,,,
,,,Ambur,International Delhi Public School,CBSE,,,,,Ambur,,,,,,,
,,,,Wisdom Park International School,CBSE,,,,,Madhanur,,,,,,,
,,,,Bethel Matric HSS,Matric,,,,,Ambur,,,,,,,
,,,,Sri Vidya Vihar MHSS,Matric,,,,,Ambur,,,,,,,
,,,,Al Hilal Matric School,Matric,,,,,Ambur,,,,,,,
,,,,Crescent Matric School,Matric,,,,,Ambur,,,,,,,
,,,,Oxford Public School,CBSE,,,,,Ambur,,,,,,,
,,,,Green Valley Public School,CBSE,,,,,Ambur,,,,,,,
,,,,Bright Future Matric School,Matric,,,,,Ambur,,,,,,,
,,,,Royal Matric School,Matric,,,,,Ambur,,,,,,,
,,,Vaniyambadi,Adarsh Matric HSS,Matric,,,,,Vaniyambadi,,,,,,,
,,,,O Mohanraj Matric School,Matric,,,,,Vaniyambadi,,,,,,,
,,,,Shemford Futuristic School,CBSE,,,,,Vaniyambadi,,,,,,,
,,,,Wisdom Matric School,Matric,,,,,Vaniyambadi,,,,,,,
,,,,Huda Public School,CBSE,,,,,Vaniyambadi,,,,,,,
,,,,Crescent Girls School,Matric,,,,,Vaniyambadi,,,,,,,
,,,,Bright Kids School,Matric,,,,,Vaniyambadi,,,,,,,
,,,,Global Public School,CBSE,,,,,Vaniyambadi,,,,,,,
,,,,Star Matric School,Matric,,,,,Vaniyambadi,,,,,,,
,,,,New Crescent School,Matric,,,,,Vaniyambadi,,,,,,,
,,,Natrampalli,Natrampalli Matric School,Matric,,,,,Natrampalli,,,,,,,
,,,,Oxford Matric School,Matric,,,,,Natrampalli,,,,,,,
,,,Madhanur,Devi Venkatachalam Public School,CBSE,,,,,Madhanur,,,,,,,
,,,,Sunrise Public School,CBSE,,,,,Madhanur,,,,,,,
,,,,Holy Angels Matric School,Matric,,,,,Madhanur,,,,,,,
,,,,Modern Matric School,Matric,,,,,Madhanur,,,,,,,
,,,,Scholars Public School,CBSE,,,,,Madhanur,,,,,,,
,,,Natrampalli,Bright Star Matric School,Matric,,,,,Natrampalli,,,,,,,
,,,,St Marys Matric School,Matric,,,,,Natrampalli,,,,,,,
,,,,Elite Public School,CBSE,,,,,Natrampalli,,,,,,,
,,,Jolarpet,St Joseph Matric School,Matric,,,,,Jolarpet,,,,,,,
,,,,Holy Cross School,CBSE,,,,,Jolarpet,,,,,,,
,,,,Railway Colony Matric School,Matric,,,,,Jolarpet,,,,,,,
,,,Alangayam,Alangayam Matric School,Matric,,,,,Alangayam,,,,,,,
,,,,Bright Future School,Matric,,,,,Alangayam,,,,,,,
,,,Kandili,Kandili Matric School,Matric,,,,,Kandili,,,,,,,
,,,,New Vision School,CBSE,,,,,Kandili,,,,,,,
,,,,Oxford Kids School,Matric,,,,,Kandili,,,,,,,
,,,Alangayam,Green Field School,Matric,,,,,Alangayam,,,,,,,
,,,Jolarpet,Scholars Academy,CBSE,,,,,Jolarpet,,,,,,,
,,Ranipet,Walajapet,Walajapet Matric School 1,Matric,,,,,Walajapet,,,,,,,
,,,Arcot,Arcot ICSE School 2,ICSE,,,,,Arcot,,,,,,,
